Sector,Year,Salary
Education,2017,182257.4
Education,2017,133317.86
Education,2017,133317.86
Education,2017,118938.56
Education,2017,134671.55
Education,2017,133317.86
Education,2017,118938.56
Education,2017,127844.58
Education,2017,123734.1
Education,2017,109691.2
Education,2017,118938.56
Education,2017,109954.95
Education,2017,118938.56
Education,2017,189722.26
Education,2017,118938.56
Education,2017,118714.7
Education,2017,118938.56
Education,2017,122772.26
Education,2017,285877.28
Education,2017,110901.9
Education,2017,133317.86
Education,2017,120676.82
Education,2017,118938.56
Education,2017,132307.5
Education,2017,118938.56
Education,2017,143691.3
Education,2017,107152.5
Education,2017,115202.85
Education,2017,110112.34
Education,2017,107209.96
Education,2017,127407.28
Education,2017,107460.6
Education,2017,109135.52
Education,2017,133317.86
Education,2017,107152.5
Education,2017,115570.52
Education,2017,118938.56
Education,2017,117420.94
Education,2017,126919
Education,2017,107279.38
Education,2017,109762.64
Education,2017,118938.56
Education,2017,118938.56
Education,2017,118938.56
Education,2017,129010.96
Education,2017,133317.86
Education,2017,108681.11
Education,2017,148905.76
Education,2017,118938.56
Education,2017,118938.56
Education,2017,127407.28
Education,2017,117151.32
Education,2017,123543.03
Education,2017,118067.04
Education,2017,133426.73
Education,2017,119578.99
Education,2017,121526.6
Education,2017,111570.94
Education,2017,120164.53
Education,2017,107279.38
Education,2017,109129.02
Education,2017,143611
Education,2017,114504.81
Education,2017,112689.76
Education,2017,133317.86
Education,2017,164060.78
Education,2017,109578.56
Education,2017,107279.38
Education,2017,133317.86
Education,2017,133317.86
Education,2017,110469.32
Education,2017,121526.6
Education,2017,133317.86
Education,2017,110120.14
Education,2017,118637.74
Education,2017,113035.78
Education,2017,127407.28
Education,2017,115724.7
Education,2017,107448.38
Education,2017,121526.6
Education,2017,160167.28
Education,2017,111027.8
Education,2017,107152.5
Education,2017,140957.96
Education,2017,112510.06
Education,2017,173271.8
Education,2017,118938.56
Education,2017,118938.56
Education,2017,164060.78
Education,2017,110425.38
Education,2017,118938.56
Education,2017,113306.96
Education,2017,121152.64
Education,2017,114684.21
Education,2017,118938.56
Education,2017,134630.51
Education,2017,128629.02
Education,2017,118938.56
Education,2017,119341.12
Education,2017,117151.32
Education,2017,107586.18
Education,2017,110998.16
Education,2017,118742.68
Education,2017,118938.56
Education,2017,115724.7
Education,2017,133317.86
Education,2017,118938.56
Education,2017,111292.74
Education,2017,118938.56
Education,2017,118938.56
Education,2017,118938.56
Education,2017,133317.86
Education,2017,110516.12
Education,2017,107279.38
Education,2017,118938.56
Education,2017,118938.56
Education,2017,118938.56
Education,2017,133317.86
Education,2017,118938.56
Education,2017,115636.42
Education,2017,129760.03
Education,2017,120018.15
Education,2017,107152.5
Education,2017,115724.7
Education,2017,114821.46
Education,2017,118938.56
Education,2017,118938.56
Education,2017,107152.5
Education,2017,118938.56
Education,2017,127407.02
Education,2017,118938.56
Education,2017,164060.78
Education,2017,133317.86
Education,2017,111570.94
Education,2017,133317.86
Education,2017,123724.12
Education,2017,118938.56
Education,2017,118938.56
Education,2017,118135.68
Education,2017,135899.84
Education,2017,133317.86
Education,2017,118938.56
Education,2017,118938.56
Education,2017,121116.04
Education,2017,133317.86
Education,2017,120493.91
Education,2017,120365.81
Education,2017,118938.56
Education,2017,118938.56
Education,2017,107152.5
Education,2017,200404.88
Education,2017,118938.56
Education,2017,119524.1
Education,2017,143237.68
Education,2017,119414.31
Education,2017,146649.62
Education,2017,200404.88
Education,2017,157334.06
Education,2017,122528.64
Education,2017,118938.56
Education,2017,118938.56
